HLT Path (Prescale 1)						Best L1 Trigger (Prescale 1)

HLT_DiPFJetAve300_HFJEC_v*					L1_SingleJet180

HLT_Ele28_eta2p1_WPTight_Gsf_HT150_v*				L1_LooseIsoEG26er2p1_HTT100er

HLT_Ele32_WPTight_Gsf_v*					L1_SingleIsoEG28er2p5

HLT_Ele35_WPTight_Gsf_v*   					L1_SingleIsoEG28er2p5
	
HLT_Ele38_WPTight_Gsf_v*					L1_SingleIsoEG28er2p5

HLT_Ele40_WPTight_Gsf_v*					L1_SingleIsoEG28er2p5

HLT_Ele115_CaloIdVT_GsfTrkIdT_v*				L1_SingleEG36er2p5

HLT_Ele135_CaloIdVT_GsfTrkIdT_v*				L1_SingleEG36er2p5

HLT_Ele145_CaloIdVT_GsfTrkIdT_v*				L1_SingleEG36er2p5

HLT_Ele200_CaloIdVT_GsfTrkIdT_v*				L1_SingleEG36er2p5

HLT_PFHT1050_v*							L1_HTT360er

HLT_PFMET200_HBHE_BeamHaloCleaned_v*				L1_ETMHF100

HLT_PFMET250_HBHECleaned_v*					L1_ETMHF100
	
HLT_PFMET300_HBHECleaned_v*					L1_ETMHF100

HLT_PFMETTypeOne200_HBHE_BeamHaloCleaned_v*			L1_ETMHF100

HLT_IsoMu27_MET90_v*						L1_SingleMu22	

HLT_IsoMu24_eta2p1_v*						L1_SingleMu22

HLT_IsoMu24_v*							L1_SingleMu22

HLT_IsoMu27_v*							L1_SingleMu22

HLT_IsoMu30_v*							L1_SingleMu22

HLT_Mu50_v*							L1_SingleMu22

HLT_Mu55_v*							L1_SingleMu22

HLT_TkMu100_v*							L1_SingleMu22

HLT_QuadPFJet103_88_75_15_DoublePFBTagDeepCSV_1p3_7p7_VBF1_v*	L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5

HLT_QuadPFJet103_88_75_15_PFBTagDeepCSV_1p3_VBF2_v*		L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5

HLT_QuadPFJet105_88_76_15_PFBTagDeepCSV_1p3_VBF2_v*		L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5

HLT_QuadPFJet111_90_80_15_DoublePFBTagDeepCSV_1p3_7p7_VBF1_v*	L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5

HLT_QuadPFJet111_90_80_15_PFBTagDeepCSV_1p3_VBF2_v*		L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5

HLT_PFJet500_v*							L1_SingleJet180

HLT_PFJetFwd450_v*						L1_SingleJet180

HLT_PFJetFwd500_v*						L1_SingleJet180

HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v*	L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3  OR  L1_SingleIsoEG28er2p5

HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v*			L1_SingleEG40er2p5
