
n       HLT Path Name   Index 0 Emergency       Index 1 2.2e34  Index 2 2.0e34  Index 3 1.6e34  Index 4 1.4e34  Index 5 1.2e34  Index 6 1.0e34  Index 7 8.0e33  Index 8 5.0e33  Index 9 1.0e34 backup   Index 10 900b   Index 11 1.6e34 + ZeroBias      


0       ALCALUMIPIXELSEXPRESSOutput (2110677)                   2       2       2       2       2       2       2       2       2       2       2       2        
1       ALCALUMIPIXELSOutput (2110676)                          1       1       1       1       1       1       1       1       1       1       1       1        
2       ALCAP0Output (2110678)                                  1       1       1       1       1       1       1       1       1       1       1       1        
3       ALCAPHISYMOutput (2110675)                              1       1       1       1       1       1       1       1       1       1       1       1        
4       AlCa_EcalEtaEBonly_v13 (2110540)                        1       1       1       1       1       1       1       1       1       1       1       1       
5       AlCa_EcalEtaEEonly_v13 (2110541)                        1       1       1       1       1       1       1       1       1       1       1       1       
6       AlCa_EcalPhiSym_v9 (2110520)                            1       1       1       1       1       1       1       1       1       1       1       1       
7       AlCa_EcalPi0EBonly_v13 (2110538)                        2       1       1       1       1       1       1       1       1       1       1       1       
8       AlCa_EcalPi0EEonly_v13 (2110539)                        1       1       1       1       1       1       1       1       1       1       1       1       
9       AlCa_LumiPixels_Random_v4 (2110536)                     1       1       1       1       1       1       1       1       1       1       1       1        
10      AlCa_LumiPixels_ZeroBias_v8 (2110537)                   1       1       1       1       1       1       1       1       1       1       1       2      
11      AlCa_RPCMuonNormalisation_v13 (2110861)                 12      20      20      20      20      20      20      20      20      20      20      20     
12      CalibrationOutput (2110673)                             1       1       1       1       1       1       1       1       1       1       1       1        
13      DQMCalibrationOutput (2110669)                          1       1       1       1       1       1       1       1       1       1       1       1        
14      DQMEventDisplayOutput (2110670)                         1       1       1       1       1       1       1       1       1       1       1       1        
15      DQMHistograms (2110653)                                 1       1       1       1       1       1       1       1       1       1       1       1        
16      DQMOnlineBeamspotOutput (2110668)                       1       1       1       1       1       1       1       1       1       1       1       1        
17      DQMOutput (2110869)                                     7       7       7       7       7       7       7       7       7       7       7       7        
18      DST_CaloJet40_BTagScouting_v15 (2110490)                0       6       6       6       6       6       6       6       6       6       6       6       
19      DST_CaloJet40_CaloBTagScouting_v14 (2110492)            0       3       3       3       3       3       3       3       3       3       3       3       
20      DST_CaloJet40_CaloScouting_PFScouting_v15 (2110491)     0       6       6       6       6       6       6       6       6       6       6       6       
21      DST_DoubleMu1_noVtx_CaloScouting_v2 (2110500)           0       1       1       1       1       1       1       1       1       1       1       1     
22      DST_DoubleMu3_noVtx_CaloScouting_Monitoring_v6          0       1       1       1       1       1       1       1       1       1       1       1       
23      DST_DoubleMu3_noVtx_CaloScouting_v6 (2110499)           0       1       1       1       1       1       1       1       1       1       1       1       
24      DST_DoubleMu3_noVtx_Mass10_PFScouting_v3 (2110501)      0       1       1       1       1       1       1       1       1       1       1       1       
25      DST_HT250_CaloBTagScouting_v10 (2110485)                0       1       1       1       1       1       1       1       1       1       1       1       
26      DST_HT250_CaloScouting_v10 (2110484)                    0       1       1       1       1       1       1       1       1       1       1       1       
27      DST_HT410_BTagScouting_v16 (2110487)                    0       1       1       1       1       1       1       1       1       1       1       1       
